Family,N,L,PadRatio
Homeobox-C2H2,1,3000,0.5793333333333334
Peptidase,1,3000,0.819
BipA-Ribosomal,1,3000,0.7963333333333333
Dehydrogenase,1,3000,0.9616666666666667
Protein-Kinase,1,3000,0.442
C2H2,1,3000,0.897
SCP,1,3000,0.937
ATP-Synthase,1,3000,0.8453333333333334
WingsApart,1,3000,0.694
Kinase,1,3000,0.7916666666666666
Anaphase-promoting,1,3000,0.7253333333333334
KR-Domain,1,3000,0.14366666666666666
Cytochrome,1,3000,0.784
AMP-binding,1,3000,0.7903333333333333
Immunoglobulin,1,3000,0.892
EF-hand,1,3000,0.7546666666666667
